country_code,device_category,ad_unit_name,requests_old,cpma_old,fill_rate_old,fp_rules_old,fp_vertex_old,lb_old,ub_old,fp_old,requests_new,cpma_new,fill_rate_new,fp_rules_new,fp_vertex_new,lb_new,ub_new,fp_new
AD,Smartphone-iOS,/4735792/reuters_mobile_leaderboard,2,0,0,-100,0.269283682,-0.003353314,1.396537423,0.269283682,2,0.01671,0.032258065,-100,0.274375588,0.003732631,1.369192719,0.274375588
AD,Desktop,/4735792/reuters_billboard_desktop_3,1,0.294,0.266666667,-100,0.331870139,0.05313585,1.969234467,0.331870139,1,0.29375,0.25,-100,0.335866541,0.051955368,1.991067529,0.335866541
AD,Desktop,/4735792/reuters_billboard_desktop_1,1,0.294,0.266666667,-100,0.324067771,0.075870335,1.866958857,0.324067771,1,0,0,-100,0.253677696,0.005460248,1.812370181,0.253677696
AE,Desktop,/4735792/reuters_desktop_right_rail_4,1,0.459109,0.277227723,-100,0.484502703,0.083489783,2.263452768,0.484502703,42,0.825282,0.560939794,-100,0.553243458,0.174748048,2.303740263,0.553243458
AE,Smartphone-iOS,/4735792/reuters_mobile_mpu_1,1,0.153072,0.323353293,-100,0.299556792,0.052409776,1.351666808,0.299556792,184,0.890353,0.907608696,-100,0.367254674,0.099508464,1.335451961,0.367254674
AE,Smartphone-iOS,/4735792/reuters_mobile_leaderboard,4,0.153072,0.323353293,-100,0.292994201,0.047938179,1.15438199,0.292994201,491,0.204882,0.49287169,0.408728062,0.265815943,0.092843913,0.996972084,0.408728062
AE,Desktop,/4735792/reuters_mobile_mpu_1,1,0.367281,0.360477742,-100,0.370274663,0.08349742,1.811827302,0.370274663,13,0.916795,0.562913907,-100,0.495526731,0.168171823,2.388817787,0.495526731
AE,Desktop,/4735792/reuters_mobile_mpu_3,1,0.367281,0.360477742,-100,0.363099962,0.079042934,1.76168859,0.363099962,12,0.585477,0.604651163,-100,0.38942638,0.111411594,1.689963937,0.38942638
AE,Desktop,/4735792/reuters_desktop_native_2,7,0.367281,0.360477742,-100,0.414647907,0.097892419,1.670812011,0.414647907,73,0,0.024200913,-100,0.287469417,0.020613769,1.468741417,0.287469417
AE,Desktop,/4735792/reuters_desktop_right_rail_3,1,0.471071,0.364803423,-100,0.417007506,0.102310143,1.834653854,0.417007506,2,0.433135,0.419689119,-100,0.389260143,0.103202127,1.683811188,0.389260143
